"AIC";"Stability";"Predictor";"ID"
"379";762.16317552383;"Absolute distance";"Cover";43
"380";701.969286419961;"Absolute distance";"Cover + Spatial 
 structure";43
"381";785.049212026828;"Absolute distance";"Spatial 
 structure";43
"382";725.937284797434;"Relative distance";"Cover";43
"383";636.634179067215;"Relative distance";"Cover + Spatial 
 structure";43
"384";766.597649856709;"Relative distance";"Spatial 
 structure";43
"385";796.163162904184;"Size tipping";"Cover";43
"386";746.972129488616;"Size tipping";"Cover + Spatial 
 structure";43
"387";763.807569554679;"Size tipping";"Spatial 
 structure";43
"388";762.213744703915;"Absolute distance";"Cover";44
"389";674.945877790755;"Absolute distance";"Cover + Spatial 
 structure";44
"390";764.751812372123;"Absolute distance";"Spatial 
 structure";44
"391";670.90626256531;"Relative distance";"Cover";44
"392";608.793046709864;"Relative distance";"Cover + Spatial 
 structure";44
"393";722.54745548373;"Relative distance";"Spatial 
 structure";44
"394";807.095797369268;"Size tipping";"Cover";44
"395";778.720855143331;"Size tipping";"Cover + Spatial 
 structure";44
"396";793.180779364255;"Size tipping";"Spatial 
 structure";44
"397";734.501508355965;"Absolute distance";"Cover";45
"398";643.052479433041;"Absolute distance";"Cover + Spatial 
 structure";45
"399";724.503181507438;"Absolute distance";"Spatial 
 structure";45
"400";644.350763920602;"Relative distance";"Cover";45
"401";578.348262849131;"Relative distance";"Cover + Spatial 
 structure";45
"402";722.743554657709;"Relative distance";"Spatial 
 structure";45
"403";792.051241137247;"Size tipping";"Cover";45
"404";746.292715501762;"Size tipping";"Cover + Spatial 
 structure";45
"405";762.765138298007;"Size tipping";"Spatial 
 structure";45
"406";750.186018075972;"Absolute distance";"Cover";46
"407";679.951958402155;"Absolute distance";"Cover + Spatial 
 structure";46
"408";764.698954441712;"Absolute distance";"Spatial 
 structure";46
"409";727.333052657115;"Relative distance";"Cover";46
"410";666.902076835537;"Relative distance";"Cover + Spatial 
 structure";46
"411";773.719196741738;"Relative distance";"Spatial 
 structure";46
"412";784.23628135835;"Size tipping";"Cover";46
"413";736.847607458209;"Size tipping";"Cover + Spatial 
 structure";46
"414";747.609853574807;"Size tipping";"Spatial 
 structure";46
"415";705.875151778907;"Absolute distance";"Cover";47
"416";637.536274201279;"Absolute distance";"Cover + Spatial 
 structure";47
"417";726.594396513063;"Absolute distance";"Spatial 
 structure";47
"418";701.66088304256;"Relative distance";"Cover";47
"419";648.886334050253;"Relative distance";"Cover + Spatial 
 structure";47
"420";759.675135598452;"Relative distance";"Spatial 
 structure";47
"421";782.420073470813;"Size tipping";"Cover";47
"422";744.193828477726;"Size tipping";"Cover + Spatial 
 structure";47
"423";769.580281285871;"Size tipping";"Spatial 
 structure";47
"424";723.170367375984;"Absolute distance";"Cover";48
"425";635.667890544575;"Absolute distance";"Cover + Spatial 
 structure";48
"426";735.695757491725;"Absolute distance";"Spatial 
 structure";48
"427";640.562446611782;"Relative distance";"Cover";48
"428";587.600910804552;"Relative distance";"Cover + Spatial 
 structure";48
"429";731.893481271801;"Relative distance";"Spatial 
 structure";48
"430";786.289586489411;"Size tipping";"Cover";48
"431";753.158226111677;"Size tipping";"Cover + Spatial 
 structure";48
"432";777.307307025147;"Size tipping";"Spatial 
 structure";48
"433";764.355343706601;"Absolute distance";"Cover";49
"434";687.2512149468;"Absolute distance";"Cover + Spatial 
 structure";49
"435";788.099839196308;"Absolute distance";"Spatial 
 structure";49
"436";701.363541188251;"Relative distance";"Cover";49
"437";655.571278867626;"Relative distance";"Cover + Spatial 
 structure";49
"438";761.135282664714;"Relative distance";"Spatial 
 structure";49
"439";809.66874160511;"Size tipping";"Cover";49
"440";779.401607519754;"Size tipping";"Cover + Spatial 
 structure";49
"441";786.890054568495;"Size tipping";"Spatial 
 structure";49
"442";753.38432619209;"Absolute distance";"Cover";50
"443";685.615834768619;"Absolute distance";"Cover + Spatial 
 structure";50
"444";773.134010330427;"Absolute distance";"Spatial 
 structure";50
"445";652.393801600499;"Relative distance";"Cover";50
"446";609.654783642152;"Relative distance";"Cover + Spatial 
 structure";50
"447";740.542772607174;"Relative distance";"Spatial 
 structure";50
"448";772.037828486823;"Size tipping";"Cover";50
"449";752.935995144084;"Size tipping";"Cover + Spatial 
 structure";50
"450";771.569658271078;"Size tipping";"Spatial 
 structure";50
"451";764.453223691906;"Absolute distance";"Cover";51
"452";653.570924945081;"Absolute distance";"Cover + Spatial 
 structure";51
"453";774.083924962547;"Absolute distance";"Spatial 
 structure";51
"454";737.274456742022;"Relative distance";"Cover";51
"455";645.2932770284;"Relative distance";"Cover + Spatial 
 structure";51
"456";753.641819795019;"Relative distance";"Spatial 
 structure";51
"457";787.051541695262;"Size tipping";"Cover";51
"458";760.546250713369;"Size tipping";"Cover + Spatial 
 structure";51
"459";783.521674026224;"Size tipping";"Spatial 
 structure";51
"460";760.028175359592;"Absolute distance";"Cover";52
"461";662.500821361461;"Absolute distance";"Cover + Spatial 
 structure";52
"462";755.086745174953;"Absolute distance";"Spatial 
 structure";52
"463";731.553691665362;"Relative distance";"Cover";52
"464";659.668792925603;"Relative distance";"Cover + Spatial 
 structure";52
"465";786.534562315689;"Relative distance";"Spatial 
 structure";52
"466";761.414132239529;"Size tipping";"Cover";52
"467";733.351156883464;"Size tipping";"Cover + Spatial 
 structure";52
"468";773.024383212561;"Size tipping";"Spatial 
 structure";52
