"rho_p";"nb_neigh";"clustering";"skewness";"variance";"moran_I";"Spectral_ratio";"PLR";"PL_expo";"CV_PSD";"fmax_PSD";"Resolution";"ID"
"316";0.681302924546168;3.06803193335647;1.50478454059139;-1.58176494831131;0.026822383774062;0.357889019176151;2.78952006055643;1;1.80798645267188;3.86527357518375;-0.136957664421595;"/3";113
"117";0.705326948570192;3.69467991254651;1.65598775029617;-0.845798505400769;0.117584685392108;0.531236674981442;5.32856162181588;1;1.46807484038411;9.62220808400809;-0.382280081773867;"No change";114
"217";0.70507330526927;3.32490996764939;1.55089609881251;-1.32463343460621;0.0554212538906476;0.340081428140516;3.92052058454484;1;1.57866768726975;5.52120628487813;-0.222726306394463;"/2";114
"317";0.705326948570192;2.99225061830173;1.44511964624039;-1.78596106071636;0.0243662935358537;0.275415884569145;2.59556057241539;1;1.45512824530043;2.8242539195696;-0.128985062629632;"/3";114
"118";0.59118578037497;3.58316553786076;1.80187159994282;-0.362144578633514;0.140874284988649;0.553294233186121;5.15115211711926;1;1.51466906756399;14.8032170548009;-0.83356494850721;"No change";115
"218";0.591803962839309;3.11945603461598;1.66223848153242;-0.88218107756214;0.0814550225206085;0.34320305423137;3.96945722078085;1;1.71570466140998;10.6380208445517;-0.41639338106403;"/2";115
"318";0.59118578037497;2.58678057553957;1.47603904326999;-1.36031059295849;0.0450663448348634;0.249871304189244;3.03531288130633;1;1.6601127187513;4.86696856205073;-0.225052685269383;"/3";115
"119";0.605551497443389;3.57134134536628;1.77455692237034;-0.421828603213433;0.132981264170542;0.520417407998295;5.07437430161282;1;1.5021189541624;13.1995218044672;-0.908690436556556;"No change";116
"219";0.606365219915808;3.08485679463742;1.62677803770823;-0.933501835499707;0.0711694909271338;0.309958319205555;3.69133677928029;1;1.67563067548816;9.14579508545201;-0.387215606227668;"/2";116
"319";0.605551497443389;2.54776219104876;1.43683107189389;-1.45930470206731;0.0371772231219569;0.230090139669109;2.62276426649663;1;1.51503301411566;4.19913954221603;-0.197087946418778;"/3";116
"120";0.460631802974145;3.31506098396601;1.97363226697841;0.208918075859153;0.130838172399623;0.665497177744963;5.53311924213912;0.743009749800224;1.48150031997576;16.9297980445091;-1.63555864708396;"No change";117
"220";0.459600449992742;2.73763640585094;1.7844926764341;-0.247148665518005;0.0924447187225574;0.648059743823259;4.43999893382008;0.756662048771624;1.59816214301827;17.6446177012377;-0.761476688354169;"/2";117
"320";0.460631802974145;2.4568093385214;1.67401973836863;-0.68714444966991;0.0600204742638192;0.593286264035562;3.27908579062389;1;1.7167954815025;10.7155000505205;-0.343051743443777;"/3";117
"121";0.306234162090018;3.34854820660816;2.39193211482774;0.865278381347281;0.129442474926257;0.586820411243814;5.26708108092154;0.797749830321176;1.18376932646131;2.80554629277392;-4.76193047770587;"No change";118
"221";0.30595877485847;2.83694181326116;2.22703155445303;0.435158105676774;0.0969372049924223;0.313093860154643;3.83605557275554;0.373758516738245;1.47539029309873;2.52210776575552;-4.11029339688085;"/2";118
"321";0.306234162090018;2.36931216931217;2.04600492318994;0.032668838640838;0.0702947467270384;0.166119706317378;2.74579499279796;0.546331901842982;1.46655646542263;3.6190372791207;-2.60561580311377;"/3";118
"122";0.241502764025287;3.40978342046303;2.64752313693342;1.2102993069403;0.121974142786407;0.631924947014502;6.02805294461804;0.493590082056754;1.39596454029018;7.65211666492778;-2.64470954020187;"No change";119
"222";0.241834809115982;2.86531780094012;2.47217966216587;0.820635167054708;0.103556711389196;0.4474642965448;4.82815724372729;0.55394791905453;1.24015714625181;6.325520824383;-2.45417458070919;"/2";119
"322";0.241502764025287;2.23581899298917;2.22548196147477;0.532735331097794;0.0845659934201601;0.384829190050242;3.59386060566072;0.592717312158418;1.29186912764354;4.89983130657595;-2.32233902412991;"/3";119
"123";0.373643914184455;3.8444235271402;2.33107570001022;0.521262101025255;0.207837733004296;0.870451513231248;7.967379343865;0.662833444139789;1.22517140228017;2.83579708059961;-2.3167439625264;"No change";12
"223";0.37428327768907;3.693928645942;2.28943290668091;0.393953616055715;0.191665695664606;0.773777072728231;6.84443114415599;0.755430676359735;1.27518130438939;2.62360366522238;-2.2674987786763;"/2";12
"323";0.373643914184455;3.55049354593774;2.25153865706353;0.272254011783528;0.179203848438513;0.697055891919974;5.74806346636563;0.776387305581279;1.30167176754086;2.40009543500321;-2.22162504852808;"/3";12
"124";0.325433541649758;3.42289467121124;2.35308359947389;0.753130104171169;0.137581222983429;0.553593239602528;5.42534669064091;0.369468908049046;1.3459880552506;2.46284493123292;-4.26576880812689;"No change";120
"224";0.325437291334011;2.85518292682927;2.17172140274529;0.297939437270122;0.0966112996312073;0.268903244710567;3.91930908541509;0.487917982432204;1.13487657200529;2.63300189419982;-3.78782520834366;"/2";120
"324";0.325433541649758;2.28122020972355;1.94730749081078;0.00916512351112721;0.0690312171431963;0.190673039461089;2.95383610648893;0.592764795462338;1.45744691491495;3.74745241624082;-2.32151155200988;"/3";120
"125";0.734580811676753;3.61017719218537;1.59221212156344;-0.867948662236939;0.0759576879115917;0.270714007386789;4.13345640798659;0.844981080271472;1.32905162582222;5.6972832343612;-0.33096942696014;"No change";121
"225";0.734580811676753;3.01219512195122;1.41112435607908;-1.43630900281748;0.0191362847222222;0.191989113177592;1.96625817913853;NA;NA;1.41392367540735;-0.141240428888323;"/2";121
"325";0.735102040816327;2.39717647058824;1.1820375325437;-2.22665852421367;0.00460553783400615;0.128773616149676;1.05539098639288;NA;NA;NA;-0.0493617560683897;"/3";121
"126";0.635079209683161;3.49535788109169;1.70544131667709;-0.447045753234923;0.0971971068824236;0.287751555943012;4.3139310513668;0.661058336505776;1.31374346906491;8.00919411898155;-0.581673314096827;"No change";122
"226";0.635079209683161;2.77085692714232;1.47316218054676;-0.765418264874987;0.0284219109549638;0.29322857565399;2.39436354746194;0.923693771190822;1.45951076671143;3.8398222426202;-0.243121968357405;"/2";122
"326";0.635804988662132;2.09214795587281;1.19105465256685;-1.42930496706991;0.0112067211228854;0.256864802584741;1.57019672653976;NA;NA;1.41357652923689;-0.0988060792646828;"/3";122
"127";0.633788714845141;3.46975601193611;1.7001239153531;-0.38201463134801;0.0920965980599219;0.307662796688008;4.37990267170109;0.70403354753431;1.33935580163228;8.38234492936219;-0.764616033440319;"No change";123
